uniqueId,userId,movieId,tag,timestamp
1,2,60756,funny,2015-10-24 19:29:54
2,2,60756,Highly quotable,2015-10-24 19:29:56
3,2,60756,will ferrell,2015-10-24 19:29:52
4,2,89774,Boxing story,2015-10-24 19:33:27
5,2,89774,MMA,2015-10-24 19:33:20
6,2,89774,Tom Hardy,2015-10-24 19:33:25
7,2,106782,drugs,2015-10-24 19:30:54
8,2,106782,Leonardo DiCaprio,2015-10-24 19:30:51
9,2,106782,Martin Scorsese,2015-10-24 19:30:56
10,7,48516,way too long,2007-01-25 01:08:45
11,18,431,Al Pacino,2016-05-01 21:39:25
12,18,431,gangster,2016-05-01 21:39:09
13,18,431,mafia,2016-05-01 21:39:15
14,18,1221,Al Pacino,2016-04-26 19:35:06
15,18,1221,Mafia,2016-04-26 19:35:03
16,18,5995,holocaust,2016-02-17 18:57:52
17,18,5995,true story,2016-02-17 18:57:59
18,18,44665,twist ending,2016-03-02 19:51:23
19,18,52604,Anthony Hopkins,2016-03-10 22:58:16
20,18,52604,courtroom drama,2016-03-10 22:58:31
21,18,52604,twist ending,2016-03-10 22:58:02
22,18,88094,britpop,2016-03-08 13:41:40
23,18,88094,indie record label,2016-03-08 13:43:12
24,18,88094,music,2016-03-08 13:43:29
25,18,144210,dumpster diving,2016-02-09 23:26:21
26,18,144210,Sustainability,2016-02-09 23:27:32
27,21,1569,romantic comedy,2014-12-28 22:23:33
28,21,1569,wedding,2014-12-28 22:23:39
29,21,118985,painter,2014-12-28 22:24:37
30,21,119141,bloody,2014-12-28 19:12:42
31,49,109487,black hole,2017-04-25 04:08:26
32,49,109487,sci-fi,2017-04-25 04:08:52
33,49,109487,time-travel,2017-04-25 04:09:16
34,62,2,fantasy,2018-06-12 22:52:09
35,62,2,magic board game,2018-06-12 22:52:12
36,62,2,Robin Williams,2018-06-12 22:51:47
37,62,110,beautiful scenery,2018-06-04 22:49:01
38,62,110,epic,2018-06-04 22:48:52
39,62,110,historical,2018-06-04 22:48:43
40,62,110,inspirational,2018-06-04 22:48:47
41,62,110,Medieval,2018-06-04 22:48:48
42,62,110,mel gibson,2018-06-04 22:48:41
43,62,110,Oscar (Best Cinematography),2018-06-04 22:48:59
44,62,110,revenge,2018-06-04 22:48:51
45,62,110,sword fight,2018-06-04 22:48:55
46,62,410,black comedy,2018-05-06 19:56:47
47,62,410,Christina Ricci,2018-05-06 19:58:05
48,62,410,Christopher Lloyd,2018-05-06 19:57:02
49,62,410,dark comedy,2018-05-06 19:56:50
50,62,410,family,2018-05-06 19:58:28
51,62,410,gothic,2018-05-06 19:56:49
52,62,2023,Al Pacino,2018-05-06 19:58:48
53,62,2023,Andy Garcia,2018-05-06 19:59:28
54,62,2023,Classic,2018-05-06 19:59:12
55,62,2023,Francis Ford Coppola,2018-05-06 19:59:12
56,62,2023,mafia,2018-05-06 19:58:53
57,62,2124,black comedy,2018-05-06 20:00:47
58,62,2124,Christina Ricci,2018-05-06 20:01:07
59,62,2124,Christopher Lloyd,2018-05-06 20:00:59
60,62,2124,Family,2018-05-06 20:00:55
61,62,2124,gothic,2018-05-06 20:00:49
62,62,2124,quirky,2018-05-06 20:00:46
63,62,2953,family,2018-05-06 20:01:23
64,62,2953,funny,2018-05-06 20:01:25
65,62,2953,Macaulay Culkin,2018-05-06 20:01:30
66,62,2953,sequel,2018-05-06 20:01:27
67,62,3114,animation,2018-05-06 20:01:43
68,62,3114,Disney,2018-05-06 20:01:42
69,62,3114,funny,2018-05-06 20:01:53
70,62,3114,original,2018-05-06 20:01:57
71,62,3114,Pixar,2018-05-06 20:01:41
72,62,3114,sequel,2018-05-06 20:01:50
73,62,3114,Tom Hanks,2018-05-06 20:02:05
74,62,3578,ancient Rome,2018-06-04 22:48:24
75,62,3578,Epic,2018-06-04 22:47:49
76,62,3578,history,2018-06-04 22:47:47
77,62,3578,imdb top 250,2018-06-04 22:48:18
78,62,3578,revenge,2018-06-04 22:48:16
79,62,3578,Rome,2018-06-04 22:47:43
80,62,3578,Russell Crowe,2018-06-04 22:47:45
81,62,4223,Ed Harris,2018-06-03 11:21:09
82,62,4223,Jude Law,2018-06-03 11:20:54
83,62,4223,Rachel Weisz,2018-06-03 11:21:13
84,62,4223,sniper,2018-06-03 11:20:52
85,62,4223,World War II,2018-06-03 11:21:17
86,62,5388,Al Pacino,2018-06-29 22:20:09
87,62,5388,atmospheric,2018-06-29 22:22:39
88,62,5388,Hilary Swank,2018-06-29 22:22:32
89,62,5388,Robin Williams,2018-06-29 22:20:11
90,62,6058,sequel,2018-05-05 21:17:33
91,62,6058,violent,2018-05-05 21:17:31
92,62,6534,dogs,2018-05-05 21:01:36
93,62,6534,Eric Bana,2018-05-05 21:01:26
94,62,6534,mad scientist,2018-05-05 21:01:38
95,62,6534,marvel,2018-05-05 21:01:40
96,62,6541,captain nemo,2018-05-05 21:00:54
97,62,6541,comic book,2018-05-05 21:00:28
98,62,6541,gothic,2018-05-05 21:00:56
99,62,6541,Peta Wilson,2018-05-05 21:00:40
100,62,6541,Sean Connery,2018-05-05 21:00:26
101,62,6541,superhero,2018-05-05 21:00:51
102,62,6564,adventure,2018-05-05 21:07:19
103,62,6564,Angelina Jolie,2018-05-05 21:07:12
104,62,6564,heroine in tight suit,2018-05-05 21:07:21
105,62,7153,Adventure,2018-06-04 22:49:18
106,62,7153,ensemble cast,2018-06-04 22:49:38
107,62,7153,fantasy,2018-06-04 22:49:16
108,62,7153,fantasy world,2018-06-04 22:49:31
109,62,7153,great soundtrack,2018-06-04 22:49:35
110,62,7153,lord of the rings,2018-06-04 22:49:41
111,62,7153,scenic,2018-06-04 22:49:40
112,62,7153,stylized,2018-06-04 22:49:37
113,62,7153,Tolkien,2018-06-04 22:49:21
114,62,8641,hilarious,2018-05-13 22:05:38
115,62,8641,Steve Carell,2018-05-13 22:05:56
116,62,8641,Will Ferrell,2018-05-13 22:05:35
117,62,27660,animation,2018-05-05 21:08:10
118,62,27660,anime,2018-05-05 21:08:08
119,62,27660,cyberpunk,2018-05-05 21:08:06
120,62,27660,dark,2018-05-05 21:08:20
121,62,27660,Matrix,2018-05-05 21:08:13
122,62,27660,sci-fi,2018-05-05 21:08:11
123,62,27706,dark comedy,2018-05-13 21:56:38
124,62,27706,Jim Carrey,2018-05-13 21:56:15
125,62,27706,meryl streep,2018-05-13 21:56:20
126,62,27706,quirky,2018-05-13 21:55:53
127,62,27706,stylized,2018-05-13 21:56:41
128,62,27808,Adam Sandler,2018-05-05 21:15:00
129,62,27808,family,2018-05-05 21:15:19
130,62,27808,sweet,2018-05-05 21:15:22
131,62,27831,British gangster,2018-07-27 20:28:24
132,62,27831,confusing,2018-07-27 20:29:24
133,62,27831,daniel craig,2018-07-27 20:28:25
134,62,27831,Exquisite plotting.,2018-07-27 20:29:15
135,62,27831,organized crime,2018-07-27 20:29:29
136,62,27831,stylish,2018-07-27 20:29:16
137,62,27831,Tom Hardy,2018-07-27 20:29:19
138,62,31658,anime,2018-05-09 12:30:41
139,62,31658,fantasy world,2018-05-09 12:30:51
140,62,31658,Hayao Miyazaki,2018-05-09 12:30:46
141,62,31658,Studio Ghibli,2018-05-09 12:30:44
142,62,33162,David Thewlis,2018-05-05 21:10:05
143,62,33162,Eva Green,2018-05-05 21:09:10
144,62,33162,Liam Neeson,2018-05-05 21:09:37
145,62,33162,Orlando Bloom,2018-05-05 21:08:31
146,62,34150,Chris Evans,2018-05-05 21:02:21
147,62,34150,comic book,2018-05-05 21:00:03
148,62,34150,heroine in tight suit,2018-05-05 21:02:18
149,62,34150,Jessica Alba,2018-05-05 21:02:07
150,62,34150,sexy female scientist,2018-05-05 21:02:24
151,62,34150,superhero,2018-05-05 20:59:37
152,62,37729,gothic,2018-06-29 22:15:27
153,62,37729,helena bonham carter,2018-06-29 22:15:34
154,62,37729,Johnny Depp,2018-06-29 22:15:29
155,62,37729,Tim Burton,2018-06-29 22:15:26
156,62,37729,visually appealing,2018-06-29 22:15:41
157,62,38061,black comedy,2018-07-27 20:29:40
158,62,38061,clever,2018-07-27 20:30:03
159,62,38061,fast-paced dialogue,2018-07-27 20:30:06
160,62,38061,good dialogue,2018-07-27 20:30:28
161,62,38061,Robert Downey Jr.,2018-07-27 20:30:08
162,62,38061,witty,2018-07-27 20:30:02
163,62,45447,adventure,2018-05-06 20:04:24
164,62,45447,Audrey Tautou,2018-05-06 20:04:35
165,62,45447,conspiracy theory,2018-05-06 20:04:22
166,62,45447,Mystery,2018-05-06 20:04:41
167,62,45447,Paris,2018-05-06 20:04:39
168,62,45447,Tom Hanks,2018-05-06 20:04:27
169,62,45447,treasure hunt,2018-05-06 20:04:44
170,62,46723,Brad Pitt,2018-05-05 21:03:37
171,62,46723,cate blanchett,2018-05-05 21:03:47
172,62,46723,multiple storylines,2018-05-05 21:03:35
173,62,46723,social commentary,2018-05-05 21:04:06
174,62,46972,Ben Stiller,2018-05-05 21:04:14
175,62,46972,Robin Williams,2018-05-05 21:04:15
176,62,46976,emma thompson,2018-09-13 21:38:12
177,62,46976,Maggie Gyllenhaal,2018-09-13 21:37:35
178,62,46976,modern fantasy,2018-09-13 21:37:38
179,62,46976,romance,2018-09-13 21:37:31
180,62,46976,surreal,2018-09-13 21:37:42
181,62,46976,Will Ferrell,2018-09-13 21:37:33
182,62,49130,Marion Cotillard,2018-05-17 18:39:31
183,62,49530,Africa,2018-09-13 21:38:26
184,62,49530,corruption,2018-09-13 21:38:24
185,62,49530,Jennifer Connelly,2018-09-13 21:38:21
186,62,49530,justice,2018-09-13 21:38:29
187,62,49530,Leonardo DiCaprio,2018-09-13 21:38:18
188,62,53464,bad acting,2018-05-05 21:13:17
189,62,53464,bad jokes,2018-05-05 21:13:31
190,62,53464,bad plot,2018-05-05 21:13:42
191,62,53464,Chris Evans,2018-05-05 21:13:27
192,62,53464,Jessica Alba,2018-05-05 21:13:14
193,62,53464,Marvel,2018-05-05 21:13:12
194,62,53464,sexy female scientist,2018-05-05 21:13:33
195,62,58047,Rachel Weisz,2018-06-13 17:02:44
196,62,58047,Ryan Reynolds,2018-06-13 17:02:27
197,62,59501,fantasy,2018-05-06 20:11:47
198,62,59501,lion,2018-05-06 20:11:57
199,62,59501,narnia,2018-05-06 20:11:48
