uniqueId,movieId,languageId
1,1,1
2,2,1
3,2,2
4,3,1
5,3,3
6,3,4
7,4,1
8,5,1
9,6,1
10,6,5
11,7,1
12,7,2
13,8,1
14,9,1
15,10,1
16,10,6
17,10,5
18,11,1
19,11,2
20,11,5
21,12,1
22,12,4
23,13,1
24,14,1
25,14,7
26,14,6
27,15,1
28,15,5
29,15,8
30,15,2
31,16,1
32,17,1
33,17,2
34,18,1
35,19,1
36,20,1
37,21,1
38,22,1
39,22,7
40,23,1
41,23,9
42,23,5
43,24,1
44,25,1
45,25,6
46,26,1
47,27,1
48,28,1
49,29,2
50,29,10
51,30,7
52,31,1
53,32,1
54,32,2
55,32,8
56,32,5
57,32,4
58,34,1
59,36,1
60,38,1
61,39,1
62,39,5
63,40,1
64,41,1
65,42,1
66,43,1
67,43,8
68,44,1
69,45,1
70,46,1
71,47,1
72,48,1
73,48,11
74,49,1
75,50,1
76,50,12
77,50,5
78,50,2
79,52,1
80,52,8
81,53,4
82,53,13
83,53,3
84,54,1
85,55,1
86,55,14
87,57,1
88,58,3
89,58,5
90,60,1
91,61,1
92,61,2
93,61,5
94,61,15
95,62,1
96,62,16
97,63,1
98,63,5
99,64,1
100,65,1
101,66,1
102,68,2
103,68,5
104,68,1
105,69,1
106,70,1
107,70,5
108,71,1
109,71,6
110,72,1
111,73,2
112,73,4
113,73,1
114,74,1
115,75,1
116,76,1
117,77,1
118,77,4
119,78,1
120,79,1
121,79,5
122,80,17
123,81,1
124,82,9
125,83,1
126,85,1
127,86,1
128,86,18
129,86,5
130,87,1
131,87,2
132,88,1
133,89,1
134,92,1
135,93,1
136,94,1
137,95,1
138,96,1
139,97,2
140,97,19
141,99,1
142,100,1
143,101,1
144,101,5
145,102,1
146,103,1
147,103,5
148,104,1
149,105,1
150,106,4
151,107,1
152,108,1
153,110,1
154,110,2
155,110,8
156,110,20
157,110,3
158,111,1
159,111,5
160,112,1
161,112,10
162,113,1
163,116,1
164,116,4
165,116,9
166,117,1
167,118,1
168,119,1
169,121,1
170,122,1
171,122,2
172,123,10
173,123,7
174,125,1
175,126,1
176,128,1
177,129,1
178,132,1
179,135,1
180,137,1
181,137,19
182,140,1
183,140,5
184,141,1
185,144,1
186,145,1
187,145,17
188,146,1
189,147,1
190,148,1
191,149,1
192,150,1
193,151,1
194,152,1
195,153,1
196,154,2
197,154,21
198,154,5
199,154,8
200,154,1
201,155,1
202,156,1
203,157,1
204,158,1
205,159,1
206,160,1
207,160,16
208,161,1
209,162,1
210,163,1
211,163,5
212,164,1
213,165,1
214,165,4
215,165,22
216,166,1
217,168,1
218,169,1
219,169,18
220,169,23
221,169,9
222,169,24
223,169,25
224,169,26
225,169,27
226,170,1
227,170,3
228,170,5
229,170,28
230,170,6
231,171,1
232,172,1
233,172,28
234,173,1
235,174,1
236,175,1
237,175,5
238,176,1
239,177,1
240,178,1
241,179,1
242,180,1
243,181,1
244,183,1
245,183,6
246,184,1
247,185,1
248,185,5
249,186,1
250,186,6
251,187,1
252,187,29
253,188,1
254,188,5
255,188,8
256,189,1
257,190,1
258,190,5
259,191,1
260,193,1
261,194,1
262,195,1
263,196,1
264,198,1
265,199,2
266,199,1
267,201,4
268,201,1
269,202,1
270,203,1
271,203,2
272,203,3
273,204,1
274,205,1
275,206,1
276,206,2
277,207,1
278,208,1
279,209,1
280,210,1
281,210,30
282,210,10
283,211,8
284,211,1
285,212,1
286,213,6
287,213,2
288,214,31
289,214,1
290,214,13
291,214,2
292,214,4
293,215,1
294,215,4
295,215,2
296,216,1
297,216,2
298,216,5
299,217,1
300,218,1
301,219,1
302,220,1
303,220,3
304,220,32
305,222,1
306,223,1
307,224,1
308,224,5
309,225,1
310,227,1
311,228,1
312,229,1
313,230,1
314,231,1
315,231,32
316,231,4
317,232,7
318,232,2
319,233,1
320,233,14
321,234,1
322,235,1
323,236,1
324,236,2
325,237,1
326,237,2
327,238,1
328,239,1
329,240,1
330,241,1
331,242,2
332,242,3
333,243,1
334,246,1
335,247,1
336,247,2
337,247,5
338,248,1
339,249,1
340,249,12
341,250,1
342,251,1
343,251,28
344,252,1
345,252,4
346,253,1
347,253,2
348,254,1
349,254,2
350,255,1
351,256,1
352,256,4
353,257,1
354,258,1
355,259,1
356,260,1
357,261,1
358,261,4
359,261,2
360,262,1
361,262,2
362,263,1
363,265,5
364,265,1
365,266,1
366,266,33
367,267,1
368,267,5
369,267,34
370,269,1
371,270,1
372,271,1
373,272,1
374,273,1
375,274,1
376,275,1
377,276,1
378,277,1
379,277,16
380,277,9
381,277,3
382,277,6
383,277,35
384,278,1
385,279,1
386,279,5
387,280,1
388,281,1
389,282,1
390,283,1
391,284,1
392,285,1
393,287,1
394,288,1
395,288,36
396,288,28
397,289,1
398,289,3
399,290,1
400,290,37
401,290,5
402,291,1
403,292,1
