uniqueId,userId,movieId,rating,timestamp
1,1,1,4.0,2000-07-30 18:45:03
2,1,3,4.0,2000-07-30 18:20:47
3,1,6,4.0,2000-07-30 18:37:04
4,1,47,5.0,2000-07-30 19:03:35
5,1,50,5.0,2000-07-30 18:48:51
6,1,70,3.0,2000-07-30 18:40:00
7,1,101,5.0,2000-07-30 18:14:28
8,1,110,4.0,2000-07-30 18:36:16
9,1,151,5.0,2000-07-30 19:07:21
10,1,157,5.0,2000-07-30 19:08:20
11,1,163,5.0,2000-07-30 19:00:50
12,1,216,5.0,2000-07-30 18:20:08
13,1,223,3.0,2000-07-30 18:16:25
14,1,231,5.0,2000-07-30 18:19:39
15,1,235,4.0,2000-07-30 18:15:08
16,1,260,5.0,2000-07-30 18:28:00
17,1,296,3.0,2000-07-30 18:49:27
18,1,316,3.0,2000-07-30 18:38:30
19,1,333,5.0,2000-07-30 18:19:39
20,1,349,4.0,2000-07-30 18:42:43
21,1,356,4.0,2000-07-30 18:16:02
22,1,362,5.0,2000-07-30 18:43:08
23,1,367,4.0,2000-07-30 18:28:30
24,1,423,3.0,2000-07-30 18:39:23
25,1,441,4.0,2000-07-30 18:14:28
26,1,457,5.0,2000-07-30 18:31:49
27,1,480,4.0,2000-07-30 18:39:06
28,1,500,3.0,2000-07-30 18:20:08
29,1,527,5.0,2000-07-30 19:06:42
30,1,543,4.0,2000-07-30 18:19:39
31,1,552,4.0,2000-07-30 18:44:13
32,1,553,5.0,2000-07-30 19:09:13
33,1,590,4.0,2000-07-30 18:42:26
34,1,592,4.0,2000-07-30 18:37:51
35,1,593,4.0,2000-07-30 19:03:13
36,1,596,5.0,2000-07-30 18:47:18
37,1,608,5.0,2000-07-30 18:48:51
38,1,648,3.0,2000-07-30 18:42:43
39,1,661,5.0,2000-07-30 18:47:18
40,1,673,3.0,2000-07-30 18:29:35
41,1,733,4.0,2000-07-30 18:40:00
42,1,736,3.0,2000-07-30 18:44:13
43,1,780,3.0,2000-07-30 19:08:06
44,1,804,4.0,2000-07-30 18:08:19
45,1,919,5.0,2000-07-30 18:41:15
46,1,923,5.0,2000-07-30 18:25:29
47,1,940,5.0,2000-07-30 18:36:16
48,1,943,4.0,2000-07-30 19:00:14
49,1,954,5.0,2000-07-30 18:53:39
50,1,1009,3.0,2000-07-30 18:29:35
51,1,1023,5.0,2000-07-30 18:44:41
52,1,1024,5.0,2000-07-30 18:47:56
53,1,1025,5.0,2000-07-30 18:46:31
54,1,1029,5.0,2000-07-30 18:47:35
55,1,1030,3.0,2000-07-30 18:48:23
56,1,1031,5.0,2000-07-30 18:44:13
57,1,1032,5.0,2000-07-30 18:46:31
58,1,1042,4.0,2000-07-30 18:19:39
59,1,1049,5.0,2000-07-30 18:40:00
60,1,1060,4.0,2000-07-30 18:15:24
61,1,1073,5.0,2000-07-30 18:28:00
62,1,1080,5.0,2000-07-30 18:22:07
63,1,1089,5.0,2000-07-30 18:49:11
64,1,1090,4.0,2000-07-30 19:06:58
65,1,1092,5.0,2000-07-30 18:58:04
66,1,1097,5.0,2000-07-30 18:28:00
67,1,1127,4.0,2000-07-30 18:41:53
68,1,1136,5.0,2000-07-30 18:22:07
69,1,1196,5.0,2000-07-30 18:30:27
70,1,1197,5.0,2000-07-30 18:31:12
71,1,1198,5.0,2000-07-30 18:30:27
72,1,1206,5.0,2000-07-30 19:02:17
73,1,1208,4.0,2000-07-30 18:54:10
74,1,1210,5.0,2000-07-30 18:08:19
75,1,1213,5.0,2000-07-30 18:49:11
76,1,1214,4.0,2000-07-30 18:30:55
77,1,1219,2.0,2000-07-30 18:56:33
78,1,1220,5.0,2000-07-30 18:31:49
79,1,1222,5.0,2000-07-30 18:31:49
80,1,1224,5.0,2000-07-30 19:06:58
81,1,1226,5.0,2000-07-30 19:00:18
82,1,1240,5.0,2000-07-30 19:02:03
83,1,1256,5.0,2000-07-30 18:24:02
84,1,1258,3.0,2000-07-30 18:56:54
85,1,1265,4.0,2000-07-30 18:59:59
